DO,TDS,Tur,pH
0.82,1299.37,3004.28,9.48
0.82,1304.40,3001.40,9.57
0.82,1360.94,2996.86,9.71
0.82,1329.83,3001.97,9.55
0.82,1425.13,2990.39,9.72
0.82,1458.23,2983.53,9.72
0.82,1425.13,2983.53,9.72
0.84,1458.23,2971.69,9.81
0.83,1458.23,2971.69,9.81
0.85,1425.13,2983.53,9.88
0.87,1458.23,2932.02,10.24
0.87,1486.34,2923.41,10.24
0.87,1475.04,2923.41,10.24
0.87,1469.42,2923.41,10.24
0.86,1441.60,2934.78,10.10
0.86,1441.60,2934.78,10.10
0.87,1441.60,2934.78,10.10
0.84,1419.68,2985.01,9.88
0.86,1469.42,2965.81,10.00
0.86,1436.09,2965.81,10.00
0.90,1469.42,2929.20,10.31
0.92,1480.68,2891.27,10.56
0.92,1480.68,2891.27,10.56
0.95,1497.72,2869.41,10.72
0.95,1538.15,2853.77,10.78
0.94,1492.02,2876.91,10.72
0.94,1492.02,2876.91,10.72
0.94,1503.44,2869.41,10.72
0.94,1532.32,2853.77,10.72
0.96,1579.55,2815.46,10.87
0.95,1579.55,2801.73,10.80
0.95,1579.55,2801.73,10.80
0.95,1579.55,2801.73,10.80
0.96,1585.54,2797.05,10.80
0.95,1579.55,2806.36,10.73
0.95,1585.54,2797.05,10.73
0.95,1573.58,2824.35,10.63
0.95,1573.58,2824.35,10.63
0.93,1567.62,2914.33,10.44
0.93,1561.69,2914.33,10.44
0.95,1567.62,2853.77,10.54
0.95,1561.69,2880.58,10.54
0.95,1567.62,2837.28,10.54
0.91,1567.62,2904.77,10.37
0.90,1567.62,2926.34,10.24
0.87,1544.01,2937.49,10.13
0.87,1544.01,2929.20,10.13
0.90,1567.62,2894.72,10.24
0.86,1509.18,2950.22,10.01
0.88,1509.18,2929.20,10.13
0.88,1509.18,2929.20,10.13
0.90,1509.18,2929.20,10.24
0.86,1436.09,2954.94,10.01
0.86,1403.44,2982.00,9.98
0.86,1398.06,2982.00,9.98
0.86,1403.44,2971.69,10.03
0.91,1458.23,2908.01,10.37
0.86,1403.44,2971.69,10.03
0.86,1398.06,2991.60,9.84
0.85,1371.46,2992.76,9.76
0.85,1398.06,2991.60,9.84
0.86,1398.06,2971.69,10.07
0.86,1419.68,2971.69,10.07
0.85,1419.68,2971.69,10.01
0.83,1419.68,2998.59,9.54
0.83,1398.06,2998.59,9.54
0.84,1441.60,2992.76,9.67
0.85,1441.60,2965.81,10.03
0.85,1441.60,2965.81,10.03
0.89,1447.13,2914.33,10.39
0.84,1430.60,2992.76,9.66
0.84,1430.60,2992.76,9.66
0.85,1441.60,2965.81,10.03
0.88,1441.60,2940.14,10.32
0.92,1447.13,2911.20,10.56
0.88,1430.60,2975.34,10.10
0.88,1430.60,2975.34,10.10
0.83,1419.68,2992.76,9.66
0.92,1430.60,2940.14,10.46
0.93,1503.44,2845.63,10.78
0.95,1503.44,2861.70,10.78
0.92,1452.67,2940.14,10.46
0.90,1452.67,2963.74,10.15
0.90,1452.67,2963.74,10.15
0.85,1403.44,2993.87,9.57
0.85,1392.70,2993.87,9.57
0.81,1324.71,3003.37,9.30
0.78,1324.71,3003.37,9.30
0.80,1376.74,3000.78,9.33
0.80,1376.74,3003.37,9.30
0.82,1419.68,2999.37,9.38
0.82,1419.68,3000.10,9.33
0.83,1425.13,2999.37,9.38
2025-03-04 16:34:57,0.88,1486.34,2937.49,10.36
2025-03-04 16:35:06,0.88,1486.34,2937.49,10.36
2025-03-04 16:35:16,0.87,1469.42,2971.69,10.10
