sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,TurbidityNTU,Tot Coli CMF,E.coli Pres,E.coli Conf,E.coli C-MF,E.coli PMF,Colfm PMF10,E.coli C-MPN,ColfmF Conf,Colfrm Conf,ColfmF MF10,ColformsPre,F Coli Pre,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-24T12:19:00,1303,9.63,17.6,8.79,2.5,,,,330,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-24T11:56:00,1303,7.57,17.7,8.53,2.9,,,,460,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-24T11:41:00,1472,9.82,16.1,8.35,2,,,,2000,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-24T11:23:00,1319,8.57,17.7,8.51,6,,,,72,,,,,,,,,,
SW-73110912,RIVER UMBER AT WATER LANE,2024-09-23T11:34:00,235,9.38,14,7.72,12,,,,450,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-11T10:42:00,1520,9.67,15.2,8.13,1.3,,,,110,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-11T10:17:00,1311,9.65,16.3,8.66,2.8,,,,330,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-11T10:12:00,1396,13.2,16.1,8.76,6.8,,,,140,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-11T09:39:00,1419,8.61,15.9,7.98,3.3,,,,130,,,,,,,,,,
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-09-10T14:43:00,620,9.97,14.7,8.08,1.8,,,,370,,,,,,,,,,
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2024-09-09T14:29:00,730,9.98,13,8.02,2.1,,,,450,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-06T12:10:00,1298,8.38,19.5,8.75,2.1,,,,480,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-06T11:36:00,1395,6.01,19,8.23,2.1,,,,250,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-06T10:46:00,1334,7.49,19,8.47,2.8,,,,140,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-06T10:15:00,1488,8.97,16.4,8.19,1,,,,530,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-02T11:47:00,1291,9.22,20.5,8.84,2.7,,,,520,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-09-02T11:35:00,1299,8.88,20.6,8.8,1.8,,,,160,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-02T11:22:00,1521,9.1,17.8,8.22,2.6,,,,1000,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-02T11:10:00,1333,9.44,20.5,8.77,2,,,,780,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-02T10:53:00,1392,6.7,20.6,8.45,2.2,,,,170,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-27T11:51:00,1437,13.3,20.4,8.76,1.6,,,,240,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-27T11:29:00,1335,12.1,20,8.86,1.9,,,,970,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-27T10:50:00,1495,9.18,17.8,8.17,1.8,,,,150,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-27T10:40:00,1282,9.88,20,8.88,2.4,,,,290,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-27T10:32:00,1245,9.12,19.8,8.9,1.9,,,,100,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-08-19T11:09:00,314,8.98,15.8,8.07,4.3,,,,1300,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-15T12:45:00,1290,14.5,23.2,9.22,1.2,,,,99,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-15T12:40:00,1377,15.8,24.5,9.32,4.1,,,,54,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-15T12:20:00,1277,10.4,22.9,9.15,2.6,,,,370,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-15T12:00:00,1267,10.1,22.9,9.14,1.4,,,,140,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-15T11:41:00,1549,9.2,18.7,8.33,1.7,,,,490,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-05T12:15:00,1422,9.72,23.2,8.78,6.2,,,,690,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-05T11:45:00,1238,10.6,23.4,9.05,2.1,,,,200,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-05T11:28:00,1240,10.4,22.8,9.03,1.8,,,,260,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-05T11:11:00,1260,10.1,22.2,9.16,1,,,,90,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-05T10:55:00,1537,8.78,18,8.17,1.8,,,,360,,,,,,,,,,
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-08-01T15:10:00,580,9.32,18,8.63,9.7,,,,810,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-07-31T12:01:00,1135,11.2,24.7,9.12,2.2,,,,160,,,,,,,,,,
