sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,Turbidity,E.coli C-MF,Available
SW-70314532,SIDMOUTH (JACOBS LADDER) BEACH (21900),2011-06-20T11:10:00,900,10.1,14.5,8.1,1,23000,6
SO-F0001801,CHICHESTER CHANNEL-S/F WATER,2009-07-21T10:18:00,51053,6.91,18.342,8.16,1,10000,6
SO-F0001801,CHICHESTER CHANNEL-S/F WATER,2009-05-21T09:09:00,50141,7.89,15.203,8.17,1,10000,6
NW-88019983,SOLWAY EDEN AT NY155575 SHELLFISH MON.PT,2009-04-28T14:00:00,42951,10,10.93,8.21,1,288000,6
SO-F0003372,POINT 16 FISHERY BUOY,2009-07-21T11:45:00,52809,7.42,18.105,8.17,1,3200,6
SW-Z1020114,W. TRYM STM. AT LAKEWOOD RD,2015-08-18T12:10:00,732,8.53,15.9,8.03,1,168000,6
SW-72815051,HARTLAND QUAY BEACH (33800),2011-05-10T10:10:00,841,12,13.91,7.75,1,1900,6
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-03-02T13:58:00,1130,11.7,5.68,9.4,1,48000,6
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-02-22T14:39:00,1321,12,5.65,9.15,1,1500,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2012-04-16T10:45:00,712,18.6,10.7,9.05,1,1400,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2012-04-16T11:00:00,663,15.6,10.5,9.05,1,1400,6
NE-45600221,BLUE PIPE FROM CLIFF LIFT,2011-03-02T14:18:00,1405,11.4,6.27,8.9,1,120000,6
NE-45600178,PIT HILLS STELL CONFLUENCE ONTO BEACH,2011-02-01T14:21:00,16.48,1.41,4.69,8.73,1,90000,6
NE-45600221,BLUE PIPE FROM CLIFF LIFT,2011-02-22T14:56:00,1414,12,6.08,8.6,1,900,6
SW-82315083,PORTHTOWAN BEACH (31600),2007-09-18T12:45:00,814,9.37,16.48,8.6,1,900,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-04-13T12:25:00,730,11.1,9.2,8.55,1,790,6
NE-45600221,BLUE PIPE FROM CLIFF LIFT,2011-02-01T14:34:00,1473,10.3,6.1,8.47,1,61000,6
NE-41000403,TWEED TRIB EAST OF LOW HOUSE,2012-02-06T11:30:00,803,13.1,0.9,8.43,1,56000,6
NE-41000399,MILL BURN AT MILL BURN BRIDGE NORHAM,2012-01-18T10:20:00,828,12.8,3.8,8.43,1,56000,6
NE-41000398,HORNCLIFFEMILL BURN D/S HORNCLIFFEML FRM,2012-01-18T10:40:00,824,12.7,4.1,8.43,1,56000,6
NE-41000400,NEW WATER HAUGH,2012-02-06T13:30:00,677,12.6,2.3,8.43,1,56000,6
NE-41000398,HORNCLIFFEMILL BURN D/S HORNCLIFFEML FRM,2012-01-30T11:00:00,1264,12.2,3.6,8.43,1,56000,6
NE-41000397,EAST ORD D/S OF ROTARY WAY,2012-01-18T11:40:00,884,12.2,3.9,8.43,1,56000,6
NE-41000403,TWEED TRIB EAST OF LOW HOUSE,2012-01-30T11:30:00,858,12.1,2.9,8.43,1,50400,6
NE-41000398,HORNCLIFFEMILL BURN D/S HORNCLIFFEML FRM,2012-02-06T10:45:00,903,12,1.7,8.43,1,50400,6
NE-41000402,TWEED TRIB AT CHATEAU PEDRO,2012-02-06T13:00:00,931,11.9,4.1,8.43,1,50400,6
NE-41000402,TWEED TRIB AT CHATEAU PEDRO,2012-01-18T12:40:00,895,11.6,4.9,8.43,1,50400,6
NW-88003870,NEW DRAUGHT BROOK PTC OLD RIVER BROCK,2012-01-30T12:50:00,934,11.5,3.6,8.43,1,50400,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-06-30T12:29:00,1271,10.9,14.7,8.429,1,44800,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-05-10T10:26:00,968,9.5,14.8,8.42,1,22400,6
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-03-02T10:22:00,994,13,4.65,8.38,1,41000,6
NE-41000405,WHITEADDER WATER D/S B6461 ROAD BRIDGE,2012-01-30T12:30:00,404,13.1,2.5,8.32,1,27300,6
NE-41000401,RUTCHEY BURN 50M U/S CONF WITH TWEED,2012-01-18T10:00:00,793,12.8,3.3,8.32,1,25200,6
NE-41000399,MILL BURN AT MILL BURN BRIDGE NORHAM,2012-01-30T10:20:00,943,12.5,3,8.32,1,25200,6
