sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform,cos_day_of_year,sin_day_of_year,cos_time_of_day,sin_time_of_day,Oxygen Diss * Temp Water,Oxygen Diss * pH,Oxygen Diss * ln Turd,Oxygen Diss * ln Cond,Oxygen Diss * cos_day_of_year,Oxygen Diss * sin_day_of_year,Oxygen Diss * cos_time_of_day,Temp Water * pH,Temp Water * ln Turd,Temp Water * ln Cond,Temp Water * cos_day_of_year,Temp Water * sin_day_of_year,Temp Water * cos_time_of_day,pH * ln Turd,pH * ln Cond,pH * cos_day_of_year,pH * sin_day_of_year,pH * cos_time_of_day,ln Turd * ln Cond,ln Turd * cos_day_of_year,ln Turd * sin_day_of_year,ln Turd * cos_time_of_day,ln Cond * cos_day_of_year,ln Cond * sin_day_of_year,ln Cond * cos_time_of_day,cos_day_of_year * sin_day_of_year,cos_day_of_year * cos_time_of_day,sin_day_of_year * cos_time_of_day,Oxygen Diss n/(n+1),Temp Water n/(n+1),pH n/(n+1),ln Turd n/(n+1),ln Cond n/(n+1),cos_day_of_year n/(n+1),sin_day_of_year n/(n+1)
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-08-19T11:09:00,8.98,15.8,8.07,1.458615023,5.749392986,7.170119543,-0.660456564,-0.750864253,-0.975342321,0.220697435,141.884,72.4686,13.09836291,51.62954901,-5.930899945,-6.742760992,-8.758574043,127.506,23.04611736,90.84040918,-10.43521371,-11.8636552,-15.41040867,11.77102324,46.3976014,-5.329884471,-6.059474522,-7.87101253,8.386150983,-0.963351866,-1.09522188,-1.422648962,-3.797224337,-4.31701367,-5.607626299,0.495913225,0.644171238,0.732349683,0.899799599,0.94047619,0.889746417,0.593266945,0.851838528,-1.945131297,-3.013876018
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-06-21T10:20:00,9.11,15.9,7.6,1.30833282,5.356586275,6.380122537,-0.986324023,0.164817847,-0.906307787,0.422618262,144.849,69.236,11.91891199,48.79850097,-8.98541185,1.501490586,-8.25646394,120.84,20.80249184,85.16972177,-15.68255197,2.620603767,-14.41029381,9.943329432,40.71005569,-7.496062575,1.252615637,-6.887939181,7.008197627,-1.29044009,0.215636599,-1.185752223,-5.283329724,0.882861017,-4.854715853,-0.162563802,0.893913143,-0.149375698,0.901088032,0.940828402,0.88372093,0.566786907,0.842682856,-72.12091853,0.14149667
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-03-08T10:37:00,11.8,6.6,7.85,1.526056303,5.537334267,5.828945618,0.390368215,0.920658817,-0.93513521,0.354291038,77.88,92.63,18.00746438,65.34054435,4.606344937,10.86377404,-11.03459548,51.81,10.0719716,36.54640616,2.576430219,6.076348192,-6.171892386,11.97954198,43.468074,3.064390488,7.227171713,-7.340811399,8.45028386,0.595723875,1.404977191,-1.427068981,2.161599294,5.097995616,-5.178156243,0.359395939,-0.365047063,-0.860940476,0.921875,0.868421053,0.88700565,0.604126005,0.847032451,0.280766067,0.479345321
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-02-07T10:55:00,11.6,5.9,7.55,2.186051277,5.375278408,6.646390515,0.793843965,0.6081215,-0.960049854,0.279829014,68.44,87.58,25.35819481,62.35322953,9.208589994,7.0542094,-11.13657831,44.545,12.89770253,31.71414261,4.683679394,3.58791685,-5.664294139,16.50468714,40.58335198,5.993521936,4.591317325,-7.248376398,11.75063423,1.735383613,1.329384782,-2.098718209,4.267132324,3.268822368,-5.160535251,0.482753583,-0.762129783,-0.583826957,0.920634921,0.855072464,0.883040936,0.686131856,0.843144105,0.442537913,0.378156439
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-12-08T10:53:00,11.6,6.1,7.84,3.583518938,5.272999559,8.496990484,0.92107799,-0.389378142,-0.957571361,0.288196268,70.76,90.944,41.56881968,61.16679488,10.68450468,-4.516786447,-11.10782779,47.824,21.85946552,32.16529731,5.618575739,-2.375206666,-5.841185302,28.09478847,41.34031654,7.221251442,-3.052724633,-7.50735947,18.89589378,3.300700421,-1.395343946,-3.431475107,4.856843835,-2.053190771,-5.049273364,-0.358647636,-0.881997904,0.372857357,0.920634921,0.85915493,0.886877828,0.781827017,0.84058663,0.479458926,-0.637674752
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-11-02T10:23:00,10.2,9.2,7.73,2.708050201,5.416100402,7.377758908,0.524010325,-0.851711911,-0.911762044,0.410718853,93.84,78.846,27.62211205,55.2442241,5.344905315,-8.687461492,-9.299972849,71.116,24.91406185,49.8281237,4.82089499,-7.835749581,-8.388210805,20.93322805,41.86645611,4.050599812,-6.583733072,-7.0479206,14.66707178,1.419046266,-2.306478612,-2.469097387,2.838092532,-4.612957224,-4.938194773,-0.446305835,-0.477772725,0.776558593,0.910714286,0.901960784,0.885452463,0.730316488,0.84414209,0.343836466,-5.743629962
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-10-05T11:07:00,9.48,14.1,7.5,1.62924054,5.446737372,6.413458957,0.069827976,-0.997559048,-0.973379258,0.229200391,133.668,71.1,15.44520032,51.63507029,0.661969212,-9.456859775,-9.227635366,105.75,22.97229161,76.79899695,0.984574462,-14.06558258,-13.72464754,12.21930405,40.85053029,0.52370982,-7.48169286,-7.300344435,8.874045337,0.113766569,-1.625263642,-1.585868948,0.380334646,-5.433442148,-5.301741182,-0.069657529,-0.067969103,0.971003286,0.904580153,0.933774834,0.882352941,0.619662034,0.844882777,0.065270284,-408.6762247
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-09-07T13:06:00,7.99,19.0,9.36,0.955511445,5.645446898,6.272877007,-0.400243939,-0.916408637,-0.958819735,-0.284015345,151.81,74.7864,7.634536446,45.10712072,-3.197949073,-7.32210501,-7.660969683,177.84,18.15471746,107.2634911,-7.604634841,-17.4117641,-18.21757497,8.943587125,52.84138297,-3.746283269,-8.577584842,-8.97455272,5.394289123,-0.382437665,-0.875638941,-0.91616323,-2.259555904,-5.173536297,-5.412965899,0.366787003,0.383761788,0.878670686,0.888765295,0.95,0.903474903,0.488624829,0.849521031,-0.667344551,-10.96295842
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-08-01T11:35:00,9.92,14.3,7.2,2.708050201,4.727387819,9.169518377,-0.866562479,-0.499068603,-0.994056338,0.108866875,141.856,71.424,26.86385799,46.89568716,-8.596299792,-4.950760542,-9.861038873,102.96,38.72511787,67.60164581,-12.39184345,-7.136681023,-14.21500563,19.49796145,34.0371923,-6.239249849,-3.593293942,-7.157205634,12.80200353,-2.346694695,-1.351502831,-2.691954466,-4.096576908,-2.359290835,-4.699289824,0.432474126,0.861411925,0.496102308,0.908424908,0.934640523,0.87804878,0.730316488,0.825400334,-6.49414402,-0.996281339
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-06-01T14:13:00,9.43,17.8,7.93,0.875468737,5.783825182,4.59511985,-0.864408174,0.50279072,-0.836286156,-0.54829323,167.854,74.7799,8.25567019,54.54147147,-8.151369081,4.74131649,-7.886178451,141.154,15.58334352,102.9520882,-15.3864655,8.949674816,-14.88589358,6.942467084,45.86573369,-6.85475682,3.98713041,-6.631749217,5.063558127,-0.756762332,0.440177557,-0.732142385,-4.999585764,2.908053628,-4.836932928,-0.434616408,0.722892589,-0.420476919,0.904122723,0.946808511,0.888017917,0.466799963,0.852590541,-6.37507584,0.33457135
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-05-04T14:25:00,12.1,13.1,8.76,0.693147181,5.631211782,4.86753445,-0.533137056,0.846028888,-0.806444604,-0.591309648,158.51,105.996,8.38708089,68.13766256,-6.450958378,10.23694954,-9.757979708,114.756,9.080228071,73.76887434,-6.984095434,11.08297843,-10.56442431,6.071969306,49.32941521,-4.670280611,7.411213059,-7.064454731,3.903258572,-0.369542447,0.586422539,-0.558984804,-3.002207671,4.764167842,-4.541260356,-0.451049351,0.429945502,-0.682275432,0.923664122,0.929078014,0.897540984,0.409383891,0.849198,-1.141956248,0.458296668
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-04-08T09:08:00,11.6,6.1,7.62,2.890371758,5.176149733,8.411832676,-0.114787626,0.993390055,-0.731353702,0.68199836,70.76,88.392,33.52831239,60.0433369,-1.331536462,11.52332464,-8.483702943,46.482,17.63126772,31.57451337,-0.700204519,6.059679335,-4.461257582,22.0246328,39.44226097,-0.87468171,7.569632219,-5.572915209,14.960997,-0.331778912,2.87126656,-2.113884085,-0.59415794,5.141935668,-3.785596269,-0.114028886,0.083950355,-0.726519494,0.920634921,0.85915493,0.883990719,0.742955156,0.838086827,-0.129672415,0.498342034
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-03-08T14:00:00,11.9,5.6,7.72,1.987874348,5.598421959,6.768493212,0.406147239,0.91380765,-0.866025404,-0.5,66.64,91.868,23.65570474,66.62122131,4.833152144,10.87431104,-10.30570231,43.232,11.13209635,31.35116297,2.274424538,5.11732284,-4.849742262,15.34638997,43.21981752,3.135456685,7.054595058,-6.685716119,11.1289594,0.807369678,1.816534786,-1.721549685,2.273783621,5.115880814,-4.848375639,0.371140454,-0.351733827,-0.791380639,0.92248062,0.848484848,0.885321101,0.665313904,0.848448613,0.288836921,0.477481449
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-02-11T12:20:00,12.0,5.1,7.76,1.30833282,5.468060141,7.090076836,0.750153729,0.661263475,-0.996194698,-0.087155743,61.2,93.12,15.69999384,65.61672169,9.001844748,7.9351617,-11.95433638,39.576,6.672497382,27.88710672,3.825784018,3.372443723,-5.08059296,10.15266268,42.43214669,5.821192937,5.131404566,-7.730470856,7.154042544,0.981450744,0.865152707,-1.303354219,4.101885705,3.61582845,-5.447252521,0.496049262,-0.747299168,-0.658747168,0.923076923,0.836065574,0.885844749,0.566786907,0.84539414,0.428621621,0.398048524
