Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean
30.6,6.7,7.5,203.0,11.0,27.0
29.8,5.7,7.2,189.0,4953.0,8391.0
29.5,6.3,6.9,179.0,3243.0,5330.0
29.7,5.8,6.9,64.0,5382.0,8443.0
29.5,5.8,7.3,83.0,3428.0,5500.0
30.0,5.5,7.4,81.0,2853.0,4049.0
29.2,6.1,6.7,308.0,3355.0,5672.0
29.6,6.4,6.7,414.0,6073.0,9423.0
30.0,6.4,7.6,305.0,3478.0,4990.0
30.1,6.3,7.6,77.0,2606.0,4301.0
27.8,7.1,7.1,176.0,4573.0,7817.0
27.9,6.7,6.4,93.0,2147.0,3433.0
29.3,7.4,6.8,121.0,11633.0,18125.0
29.2,6.9,7.0,620.0,3500.0,6300.0
30.0,6.0,7.5,72.0,4995.0,9517.0
29.0,7.3,7.0,247.0,1095.0,2453.0
29.1,7.3,7.0,188.0,1286.0,3048.0
28.7,7.0,6.9,224.0,3896.0,6742.0
28.7,7.3,6.7,144.0,1940.0,3052.0
29.5,5.3,6.8,319.0,6458.0,10250.0
29.0,6.3,6.4,79.0,7592.0,12842.0
29.4,5.4,7.6,39.0,3176.0,6367.0
28.3,2.2,6.5,322.0,11210.0,14920.0
30.1,5.2,7.1,192.0,5073.0,8925.0
30.3,5.6,7.5,282.0,3205.0,5082.0
30.5,5.5,7.4,275.0,4698.0,8625.0
29.1,7.3,6.7,55.0,2638.0,4003.0
30.1,6.5,7.5,415.0,864.0,1538.0
29.2,7.2,6.3,100.0,7942.0,13575.0
25.1,6.6,7.8,95.0,16.0,36.0
29.6,6.9,7.9,99.0,15.0,34.0
27.4,6.8,7.7,85.0,11.0,23.0
27.8,6.7,7.8,80.0,12.0,29.0
30.6,5.1,7.3,3937.0,31.0,83.0
25.0,5.6,7.9,468.0,66.0,164.0
25.0,6.4,7.6,541.0,23.0,45.0
25.0,5.5,7.4,6166.0,44.0,67.0
25.3,5.3,7.7,24062.0,156.0,304.0
25.1,6.7,7.6,83.0,28.0,76.0
26.1,3.6,7.4,4424.0,276.0,474.0
21.4,7.2,7.7,226.0,,130.0
27.4,5.9,7.4,268.0,37.0,68.0
27.1,5.4,7.5,2413.0,59.0,116.0
27.2,5.8,7.3,384.0,37.0,78.0
27.3,5.9,7.4,269.0,34.0,60.0
27.0,6.0,7.3,269.0,32.0,58.0
27.2,6.1,7.3,196.0,30.0,63.0
27.0,5.9,7.4,269.0,19.0,47.0
22.6,6.3,7.8,223.0,15.0,32.0
28.4,6.7,7.3,9293.0,,0.0
28.0,6.8,7.2,170.0,,0.0
27.6,6.8,7.3,4175.0,,0.0
27.9,6.9,7.3,4282.0,,0.0
28.1,6.9,7.3,5551.0,,0.0
27.1,6.8,7.9,5390.0,15.0,28.0
27.6,6.6,8.1,161.0,16.0,32.0
27.3,6.7,8.0,138.0,14.0,33.0
27.8,6.7,7.8,81.0,14.0,35.0
28.0,5.9,7.7,194.0,22.0,51.0
28.1,6.3,7.6,186.0,13.0,31.0
28.6,6.6,7.6,207.0,12.0,31.0
26.9,6.8,7.7,85.0,15.0,34.0
23.0,7.1,7.4,176.0,,30.0
23.0,7.0,7.4,178.0,,40.0
23.0,7.2,7.2,180.0,,70.0
25.1,6.7,7.5,85.0,183.0,420.0
24.6,5.8,7.4,77.0,285.0,691.0
25.7,6.6,7.5,75.0,183.0,448.0
24.8,6.7,7.5,82.0,161.0,443.0
27.3,6.7,6.9,56.0,82.0,172.0
