Temperature (C),Disolved Oxygen (mg/l),pH,Conductivity (micro_mhos/cm),Turbidity (NTU),Fecal Coliform (MPN/100ml)
30.6,4.0,7.5,208,47.0,5421
30.6,4.0,7.2,210,45.8,5632
30.6,4.0,7.1,219,45.4,5550
30.6,4.0,7.1,220,45.6,5444
30.6,3.9,7.2,215,46.0,5218
30.6,4.0,7.2,220,46.3,5222
30.6,4.0,7.2,222,46.1,5219
30.6,4.0,7.2,228,45.9,5225
30.6,3.9,7.2,225,46.2,5231
30.6,4.0,7.0,230,45.6,5233
28.0,3.9,6.8,226,43.3,5230
29.3,4.0,6.8,230,43.9,5230
31.7,3.8,7.2,290,45.8,5237
31.7,3.9,7.2,297,45.7,5241
31.8,4.0,7.2,305,45.7,5239
31.7,3.9,7.3,309,46.2,5237
31.7,4.0,7.3,315,46.0,5242
31.8,3.8,7.3,312,46.3,5247
31.7,4.0,7.5,318,47.1,5248
31.5,3.8,7.5,322,47.5,5245
31.8,3.9,7.5,325,47.2,5251
31.7,4.0,7.5,320,47.2,5255
31.7,3.9,7.4,320,46.9,5259
31.8,3.9,7.4,322,46.6,5259
33.4,3.8,7.4,341,46.9,5256
35.6,3.3,7.6,389,47.9,5257
37.8,3.3,7.6,399,47.7,5260
37.8,3.3,7.6,398,48.0,5263
37.8,3.3,7.6,399,47.8,5263
37.8,3.3,7.6,400,47.6,5267
37.8,3.3,7.8,401,49.1,5270
30.6,4.0,7.8,204,49.5,5278
30.9,4.0,7.8,213,49.2,5284
30.9,3.9,7.8,208,49.1,5288
30.9,4.0,7.8,219,49.3,5285
30.9,3.9,7.8,223,49.3,5324
31.3,4.0,7.5,227,47.2,5302
31.4,3.9,7.5,238,47.1,5350
31.5,3.9,7.5,234,47.5,5359
31.5,3.9,7.5,241,47.4,5402
31.6,4.0,7.9,233,49.9,5447
31.3,3.9,7.9,244,50.0,5439
31.4,3.8,7.9,239,49.8,5511
31.5,4.0,7.9,232,49.9,5541
31.5,3.9,8.0,229,50.1,5598
31.6,3.7,8.0,240,50.3,5582
