sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-24T12:19:00,9.63,17.6,8.79,0.916290732,7.172424577,5.799092654
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-24T11:56:00,7.57,17.7,8.53,1.064710737,7.172424577,6.131226489
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-24T11:41:00,9.82,16.1,8.35,0.693147181,7.294377299,7.60090246
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-24T11:23:00,8.57,17.7,8.51,1.791759469,7.184629153,4.276666119
SW-73110912,RIVER UMBER AT WATER LANE,2024-09-23T11:34:00,9.38,14,7.72,2.48490665,5.459585514,6.109247583
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-11T10:42:00,9.67,15.2,8.13,0.262364264,7.326465614,4.700480366
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-11T10:17:00,9.65,16.3,8.66,1.029619417,7.178545484,5.799092654
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-11T10:12:00,13.2,16.1,8.76,1.916922612,7.241366283,4.941642423
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-11T09:39:00,8.61,15.9,7.98,1.193922468,7.257707677,4.86753445
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-09-10T14:43:00,9.97,14.7,8.08,0.587786665,6.429719478,5.913503006
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2024-09-09T14:29:00,9.98,13,8.02,0.741937345,6.593044534,6.109247583
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-06T12:10:00,8.38,19.5,8.75,0.741937345,7.168579897,6.173786104
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-06T11:36:00,6.01,19,8.23,0.741937345,7.240649694,5.521460918
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-06T10:46:00,7.49,19,8.47,1.029619417,7.195937226,4.941642423
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-06T10:15:00,8.97,16.4,8.19,0,7.305188215,6.272877007
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-02T11:47:00,9.22,20.5,8.84,0.993251773,7.163172391,6.253828812
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-09-02T11:35:00,8.88,20.6,8.8,0.587786665,7.169350017,5.075173815
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-02T11:22:00,9.1,17.8,8.22,0.955511445,7.327123292,6.907755279
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-02T11:10:00,9.44,20.5,8.77,0.693147181,7.19518732,6.65929392
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-02T10:53:00,6.7,20.6,8.45,0.78845736,7.238496841,5.135798437
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-27T11:51:00,13.3,20.4,8.76,0.470003629,7.270312886,5.480638923
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-27T11:29:00,12.1,20,8.86,0.641853886,7.196686571,6.877296071
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-27T10:50:00,9.18,17.8,8.17,0.587786665,7.309881486,5.010635294
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-27T10:40:00,9.88,20,8.88,0.875468737,7.156176637,5.669880923
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-27T10:32:00,9.12,19.8,8.9,0.641853886,7.126890809,4.605170186
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-08-19T11:09:00,8.98,15.8,8.07,1.458615023,5.749392986,7.170119543
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-15T12:45:00,14.5,23.2,9.22,0.182321557,7.162397497,4.59511985
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-15T12:40:00,15.8,24.5,9.32,1.410986974,7.227662499,3.988984047
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-15T12:20:00,10.4,22.9,9.15,0.955511445,7.152268856,5.913503006
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-15T12:00:00,10.1,22.9,9.14,0.336472237,7.14440718,4.941642423
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-15T11:41:00,9.2,18.7,8.33,0.530628251,7.34536484,6.194405391
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-05T12:15:00,9.72,23.2,8.78,1.824549292,7.25981961,6.536691598
