sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform,cos_day_of_year,sin_day_of_year,cos_time_of_day,sin_time_of_day,Oxygen Diss * Temp Water,Oxygen Diss * pH,Oxygen Diss * ln Turd,Oxygen Diss * ln Cond,Oxygen Diss * cos_day_of_year,Oxygen Diss * sin_day_of_year,Oxygen Diss * cos_time_of_day,Temp Water * pH,Temp Water * ln Turd,Temp Water * ln Cond,Temp Water * cos_day_of_year,Temp Water * sin_day_of_year,Temp Water * cos_time_of_day,pH * ln Turd,pH * ln Cond,pH * cos_day_of_year,pH * sin_day_of_year,pH * cos_time_of_day,ln Turd * ln Cond,ln Turd * cos_day_of_year,ln Turd * sin_day_of_year,ln Turd * cos_time_of_day,ln Cond * cos_day_of_year,ln Cond * sin_day_of_year,ln Cond * cos_time_of_day,cos_day_of_year * sin_day_of_year,cos_day_of_year * cos_time_of_day,sin_day_of_year * cos_time_of_day,Oxygen Diss n/(n+1),Temp Water n/(n+1),pH n/(n+1),ln Turd n/(n+1),ln Cond n/(n+1),cos_day_of_year n/(n+1),sin_day_of_year n/(n+1)
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-24T12:19:00,9.63,17.6,8.79,0.916290732,7.172424577,5.799092654,-0.10196189,-0.994788306,-0.996565502,-0.082808208,169.488,84.6477,8.823879749,69.07044868,-0.981893001,-9.579811387,-9.596925784,154.704,16.12671688,126.2346726,-1.794529264,-17.50827419,-17.53955284,8.054195534,63.04561203,-0.896245013,-8.74418921,-8.759810763,6.572026166,-0.093426735,-0.911515305,-0.913143733,-0.731313966,-7.135044095,-7.147790899,0.101430496,0.101611702,0.991371708,0.905926623,0.946236559,0.897854954,0.478158516,0.877637292,-0.113538489,-190.8761923
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-24T11:56:00,7.57,17.7,8.53,1.064710737,7.172424577,6.131226489,-0.10196189,-0.994788306,-0.999847695,0.017452406,133.989,64.5721,8.059860279,54.29525405,-0.771851507,-7.530547476,-7.568847051,150.981,18.84538004,126.951915,-1.804725453,-17.60775302,-17.6973042,9.081982587,61.18078164,-0.869734922,-8.48554425,-8.528700838,7.636557457,-0.108559919,-1.05916179,-1.064548576,-0.731313966,-7.135044095,-7.171332181,0.101430496,0.101946361,0.994636795,0.883313886,0.946524064,0.895068206,0.515670654,0.877637292,-0.113538489,-190.8761923
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-24T11:41:00,9.82,16.1,8.35,0.693147181,7.294377299,7.60090246,-0.10196189,-0.994788306,-0.996565502,0.082808208,158.102,81.997,6.806705317,71.63078508,-1.00126576,-9.768821165,-9.78627323,134.435,11.15966961,117.4394745,-1.641586429,-16.01609173,-16.04470458,5.787778961,60.90805045,-0.851381782,-8.306482355,-8.321321942,5.056077062,-0.070674597,-0.68953471,-0.690766568,-0.743748496,-7.256361237,-7.269324775,0.101430496,0.101611702,0.991371708,0.907578558,0.941520468,0.893048128,0.409383891,0.879436398,-0.113538489,-190.8761923
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-24T11:23:00,8.57,17.7,8.51,1.791759469,7.184629153,4.276666119,-0.10196189,-0.994788306,-0.986996367,0.160742566,151.689,72.9307,15.35537865,61.57227184,-0.873813397,-8.525335782,-8.458558865,150.627,31.7141426,127.167936,-1.804725453,-17.60775302,-17.4698357,15.24787308,61.14119409,-0.867695684,-8.465648484,-8.399339083,12.87312732,-0.182691182,-1.782421367,-1.768460086,-0.732558367,-7.147185064,-7.091202872,0.101430496,0.100636015,0.981852444,0.895506792,0.946524064,0.894847529,0.641802952,0.877819754,-0.113538489,-190.8761923
SW-73110912,RIVER UMBER AT WATER LANE,2024-09-23T11:34:00,9.38,14,7.72,2.48490665,5.459585514,6.109247583,-0.11905873,-0.992887214,-0.993571856,0.113203214,131.32,72.4136,23.30842438,51.21091212,-1.116770887,-9.313282067,-9.319704009,108.08,34.7886931,76.4341972,-1.66682222,-13.900421,-13.91000598,19.18347934,42.14800017,-0.919133396,-7.665089292,-7.670374728,13.56656035,-0.29584983,-2.467232041,-2.468933312,-0.650011318,-5.420752651,-5.424490512,0.118211891,0.118293403,0.986504792,0.903660886,0.933333333,0.885321101,0.713048268,0.845191306,-0.135149452,-139.5918862
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-11T10:42:00,9.67,15.2,8.13,0.262364264,7.326465614,4.700480366,-0.320039236,-0.947404289,-0.942641491,0.333806859,146.984,78.6171,2.537062433,70.84692249,-3.094779412,-9.161399475,-9.115343218,123.576,3.987936813,111.3622773,-4.864596387,-14.40054519,-14.32815066,2.133021466,59.56416544,-2.601918989,-7.70239687,-7.663675322,1.922202759,-0.083966859,-0.248565029,-0.247315441,-2.344756458,-6.941124946,-6.90623047,0.303206545,0.301682263,0.893062592,0.906279288,0.938271605,0.890470975,0.207835624,0.879901023,-0.470673093,-18.01295716
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-11T10:17:00,9.65,16.3,8.66,1.029619417,7.178545484,5.799092654,-0.320039236,-0.947404289,-0.900698239,0.434445257,157.295,83.569,9.935827374,69.27296392,-3.088378627,-9.142451389,-8.691738006,141.158,16.7827965,117.0102914,-5.216639547,-15.44268991,-14.6813813,8.916504151,62.16620389,-2.771539784,-8.204521143,-7.80004675,7.391169816,-0.329518612,-0.975465852,-0.927376396,-2.297416212,-6.80098478,-6.465703276,0.303206545,0.288258776,0.853325375,0.906103286,0.942196532,0.896480331,0.507296791,0.87772887,-0.470673093,-18.01295716
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-11T10:12:00,13.2,16.1,8.76,1.916922612,7.241366283,4.941642423,-0.320039236,-0.947404289,-0.891006524,0.4539905,212.52,115.632,25.30337848,95.58603494,-4.224517915,-12.50573661,-11.76128612,141.036,30.86245405,116.5859972,-5.1526317,-15.25320905,-14.34520504,16.79224208,63.43436864,-2.803543707,-8.299261572,-7.80521715,13.88113877,-0.613490448,-1.816100704,-1.707990553,-2.317521333,-6.860501475,-6.452104601,0.303206545,0.285157047,0.844143402,0.929577465,0.941520468,0.897540984,0.657172941,0.878660896,-0.470673093,-18.01295716
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-11T09:39:00,8.61,15.9,7.98,1.193922468,7.257707677,4.86753445,-0.320039236,-0.947404289,-0.816641555,0.57714519,136.899,68.7078,10.27967245,62.4888631,-2.755537822,-8.157150928,-7.031283789,126.882,18.98336724,115.3975521,-5.088623852,-15.0637282,-12.98460072,9.527501295,57.91650726,-2.553913103,-7.560286226,-6.516799609,8.665140262,-0.382102035,-1.131127267,-0.975006701,-2.32275122,-6.875983381,-5.926945683,0.303206545,0.261357339,0.773689712,0.895941727,0.940828402,0.888641425,0.544195379,0.878901017,-0.470673093,-18.01295716
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-09-10T14:43:00,9.97,14.7,8.08,0.587786665,6.429719478,5.913503006,-0.33628873,-0.941758934,-0.757564984,-0.652759752,146.559,80.5576,5.86023305,64.1043032,-3.352798638,-9.389336572,-7.55292289,118.776,8.640463976,94.51687633,-4.943444331,-13.84385633,-11.13620526,4.749316253,51.95213338,-2.717212938,-7.609412187,-6.121125071,3.779303369,-0.197666031,-0.553553343,-0.445286595,-2.162242198,-6.055245762,-4.870930333,0.316702916,0.254760566,0.713443592,0.908842297,0.936305732,0.889867841,0.370192469,0.865405416,-0.506679252,-16.1700154
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2024-09-09T14:29:00,9.98,13,8.02,0.741937345,6.593044534,6.109247583,-0.352438711,-0.935834897,-0.796002003,-0.605293988,129.74,80.0396,7.404534703,65.79858445,-3.517338336,-9.339632272,-7.94409999,104.26,9.645185485,85.70957894,-4.581703243,-12.16585366,-10.34802604,5.950337507,52.87621716,-2.826558462,-7.505395874,-6.383936064,4.891625957,-0.261487442,-0.694330859,-0.590583613,-2.323644117,-6.170001152,-5.248076655,0.329824445,0.28054192,0.744926452,0.908925319,0.928571429,0.889135255,0.425926539,0.868300522,-0.544255373,-14.58479537
